SOURCE: res.md

RESTAURANT: King Croissant
  CATEGORY: كعكة طرابلسية / Tripoli Kaak
    - بيبروني وموزاريلا | LBP 300000 | USD 3.33
    - مقانق | LBP 350000 | USD 3.89
    - بسترما | LBP 400000 | USD 4.44
    - روستو | LBP 400000 | USD 4.44
    - قاورما وموزاريلا | LBP 400000 | USD 4.44
    - مربى فريز | LBP 180000 | USD 2.00
    - زبدة الفستق | LBP 250000 | USD 2.78
    - نوتيلا | LBP 250000 | USD 2.78
    - شوكولا مرجان | LBP 250000 | USD 2.78
    - كوكتيل شوكولا | LBP 300000 | USD 3.33
  CATEGORY: أطباق وسندويشات متنوعة / Plates & Various Sandwiches
    - كشك مع موزاريلا | LBP 230000 | USD 2.56
    - هوت دوج | LBP 350000 | USD 3.89
    - بسترما | LBP 350000 | USD 3.89
    - سجق | LBP 350000 | USD 3.89
    - مقانق | LBP 350000 | USD 3.89
    - قاورما | LBP 400000 | USD 4.44
    - طاووق | LBP 350000 | USD 3.89
    - فاهيتا | LBP 350000 | USD 3.89
    - شاورما دجاج | LBP 350000 | USD 3.89
    - شاورما لحمة | LBP 400000 | USD 4.44
    - هوت دوج صحن | LBP 350000 | USD 3.89
    - شاورما دجاج صحن | LBP 350000 | USD 3.89
    - شاورما لحمة صحن | LBP 400000 | USD 4.44
  CATEGORY: كرواسون سي فود / Croissant Sea Food
    - كرواسون كراب | LBP 350000 | USD 3.89
  CATEGORY: ساندويش عربي / Arabi Sandwich
    - طاووق | LBP 250000 | USD 2.78
    - همبرغر | LBP 250000 | USD 2.78
    - سودة دجاج | LBP 250000 | USD 2.78
    - سجق | LBP 250000 | USD 2.78
    - مقانق | LBP 250000 | USD 2.78
  CATEGORY: ساندويش إفرنجي / Ifranji Sandwich
    - فاهيتا | LBP 350000 | USD 3.89
    - بسترما | LBP 350000 | USD 3.89
    - روستو | LBP 350000 | USD 3.89
    - فرانسيسكو | LBP 350000 | USD 3.89
    - دجاج مسحب | LBP 350000 | USD 3.89
  CATEGORY: بطاطا / Potatoes
    - ساندويش بطاطا وسط | LBP 150000 | USD 1.67
    - ساندويش بطاطا كبير | LBP 200000 | USD 2.22
    - علبة البطاطا | LBP 100000 | USD 1.11
    - صحن صغير | LBP 200000 | USD 2.22
    - صحن وسط | LBP 300000 | USD 3.33

RESTAURANT: Furn Libnan (فرن لبنان)
    - Jebneh Akkawi \- Regular (جبنة عكاوي \- عادي) | 2.00
    - Jebneh Akkawi \- Extra (جبنة عكاوي \- اكسترا) | 2.80
    - Akkawi & Kashkaval \- Regular (عكاوي وقشقوان \- عادي) | 2.80
    - Akkawi & Kashkaval \- Extra (عكاوي وقشقوان \- اكسترا) | 3.35
    - Bulgari & Kashkaval \- Regular (بلغاري وقشقوان \- عادي) | 2.80
    - Bulgari & Kashkaval \- Extra (بلغاري وقشقوان \- اكسترا) | 3.35
    - Four Cheese \- Regular (فور تشيز \- عادي) | 2.80
    - Four Cheese \- Extra (فور تشيز \- اكسترا) | 3.35
    - Cheese Loaf (رغيف جبنة) | 3.90
    - Half Cheese Half Zaatar \- Regular (نص جبنة نص زعتر \- عادي) | 1.45
    - Half Cheese Half Zaatar \- Extra (نص جبنة نص زعتر \- اكسترا) | 2.20
    - Tomato & Onion \- Regular (بندورة وبصل \- عادي) | 1.65
